id,team,year,driver_id,total_races
274,Ferrari,1952,155,1
275,"Aston Butterworth",1952,156,1
276,Veritas,1952,76,1
277,Veritas,1952,157,1
278,Veritas,1952,158,1
279,"HWM Alta",1952,107,1
280,"HWM Alta",1952,108,1
281,"AFM Kuchen",1952,159,1
282,Simca-Gordini,1952,160,1
283,Ferrari,1953,5,9
284,Ferrari,1953,6,9
285,Maserati,1953,8,1
286,Maserati,1953,1,10
287,Maserati,1953,105,6
288,Maserati,1953,24,7
289,Gordini,1953,66,8
290,Ferrari,1953,110,8
291,Gordini,1953,65,7
292,Ferrari,1953,3,7
293,Gordini,1953,161,1
294,"HWM Alta",1953,111,2
295,"Connaught Lea Francis",1953,83,1
296,"HWM Alta",1953,115,6
297,Ferrari,1953,4,8
298,Maserati,1953,63,6
299,Gordini,1953,121,6
300,"HWM Alta",1953,123,4
301,Simca-Gordini,1953,162,1
302,Veritas,1953,117,1
303,Maserati,1953,78,8
304,"Connaught Lea Francis",1953,107,1
305,"Connaught Lea Francis",1953,132,4
306,"Connaught Lea Francis",1953,8,4
307,Gordini,1953,163,3
308,"Cooper Bristol",1953,122,5
309,"Connaught Lea Francis",1953,130,5
310,Maserati,1953,164,1
311,"Cooper Bristol",1953,165,1
312,"Cooper Bristol",1953,112,4
313,Gordini,1953,64,1
314,Gordini,1953,166,1
315,Simca-Gordini,1953,167,1
316,"Cooper Bristol",1953,168,1
317,"Connaught Lea Francis",1953,22,3
318,"Cooper Bristol",1953,169,1
319,"Cooper Alta",1953,69,1
320,"Connaught Lea Francis",1953,28,1
321,"HWM Alta",1953,170,1
322,"Connaught Lea Francis",1953,171,1
323,"HWM Alta",1953,84,1
324,"Cooper Bristol",1953,16,2
325,"Cooper Bristol",1953,133,1
326,"Kurtis Kraft Offenhauser",1953,100,1
327,"Kurtis Kraft Offenhauser",1953,135,1
328,"Kurtis Kraft Offenhauser",1953,60,1
329,"Kurtis Kraft Offenhauser",1953,42,1
330,"Kurtis Kraft Offenhauser",1953,56,1
331,"Kurtis Kraft Offenhauser",1953,39,2
332,"Kurtis Kraft Offenhauser",1953,44,1
333,"Kurtis Kraft Offenhauser",1953,172,1
334,"Kurtis Kraft Offenhauser",1953,54,2
335,"Kurtis Kraft Offenhauser",1953,140,1
336,"Stevens Offenhauser",1953,173,1
337,"Kuzma Offenhauser",1953,35,1
338,"Kuzma Offenhauser",1953,96,2
339,"Kuzma Offenhauser",1953,46,1
340,"Kurtis Kraft Offenhauser",1953,47,1
341,"Kurtis Kraft Novi",1953,92,1
342,"Kurtis Kraft Offenhauser",1953,94,1
343,"Kurtis Kraft Offenhauser",1953,142,1
344,"Kuzma Offenhauser",1953,88,1
345,"Schroeder Offenhauser",1953,136,1
346,"Kurtis Kraft Offenhauser",1953,31,1
347,"Kurtis Kraft Offenhauser",1953,98,1
348,"Kurtis Kraft Offenhauser",1953,89,2
349,"Kurtis Kraft Offenhauser",1953,62,1
350,"Kurtis Kraft Offenhauser",1953,37,1
351,"Kurtis Kraft Offenhauser",1953,174,1
352,"Kurtis Kraft Offenhauser",1953,175,1
353,"Kurtis Kraft Offenhauser",1953,50,1
354,"Kurtis Kraft Offenhauser",1953,176,1
355,"Kurtis Kraft Offenhauser",1953,53,1
356,"Kuzma Offenhauser",1953,141,1
357,"Turner Offenhauser",1953,87,1
358,"Kurtis Kraft Offenhauser",1953,40,1
359,"Kurtis Kraft Offenhauser",1953,51,1
360,"Kurtis Kraft Offenhauser",1953,96,1
361,"Lesovsky Offenhauser",1953,42,1
362,"Kurtis Kraft Offenhauser",1953,30,1
363,"Watson Offenhauser",1953,177,1
364,"Kurtis Kraft Offenhauser",1953,46,1
365,"Kurtis Kraft Offenhauser",1953,178,1
366,"Bromme Offenhauser",1953,142,1
367,"Del Roy Offenhauser",1953,176,1
368,"Stevens Offenhauser",1953,89,1
369,Maserati,1953,179,1
370,Maserati,1953,180,1
371,Ferrari,1953,181,1
372,OSCA,1953,25,2
373,Maserati,1953,22,1
374,"Cooper Alta",1953,107,3
375,"AFM Bristol",1953,159,2
376,"HWM Alta",1953,14,2
377,"Connaught Lea Francis",1953,170,1
378,Ferrari,1953,144,1
379,Maserati,1953,103,2
380,OSCA,1953,143,2
381,"HWM Alta",1953,182,1
382,Ferrari,1953,102,2
383,Veritas,1953,183,1
384,"Cooper Bristol",1953,184,1
385,Veritas,1953,157,1
386,BMW,1953,154,1
387,BMW,1953,149,1
388,Veritas,1953,185,1
389,EMW,1953,186,1
390,Veritas,1953,187,1
391,Veritas,1953,150,1
392,"AFM BMW",1953,188,1
393,Ferrari,1953,189,1
394,"AFM BMW",1953,153,1
395,Veritas,1953,190,1
396,Veritas,1953,191,1
397,Maserati,1953,192,1
398,Ferrari,1953,160,1
399,"HWM Alta",1953,193,1
400,Ferrari,1953,109,1
401,Ferrari,1954,110,9
402,Maserati,1954,180,2
403,Mercedes-Benz,1954,1,6
404,Maserati,1954,163,8
405,Mercedes-Benz,1954,194,6
406,Maserati,1954,80,1
407,Maserati,1954,3,2
408,Maserati,1954,122,4
409,Maserati,1954,22,6
410,Maserati,1954,179,5
411,Maserati,1954,24,2
412,Maserati,1954,195,1
413,Mercedes-Benz,1954,183,5
414,Ferrari,1954,66,8
415,Gordini,1954,196,2
416,Maserati,1954,65,6
417,Maserati,1954,107,6
418,Gordini,1954,121,8
419,Ferrari,1954,102,3
420,Lancia,1954,5,1
421,Lancia,1954,6,1
422,Ferrari,1954,64,5
423,Maserati,1954,1,2
424,Ferrari,1954,63,9
425,Gordini,1954,83,3
426,Gordini,1954,111,3
427,Ferrari,1954,4,2
428,Maserati,1954,105,4
429,Gordini,1954,143,1
430,Ferrari,1954,181,3
431,Maserati,1954,197,2
432,Gordini,1954,198,1
433,Ferrari,1954,3,4
434,"Cooper Bristol",1954,16,1
435,"Connaught Lea Francis",1954,199,1
436,"Connaught Lea Francis",1954,200,1
437,"Connaught Lea Francis",1954,201,1
438,"Connaught Lea Francis",1954,202,1
439,Maserati,1954,130,2
440,Maserati,1954,203,1
441,"Cooper Bristol",1954,204,1
442,Maserati,1954,6,3
443,Maserati,1954,5,3
444,"Connaught Lea Francis",1954,205,1
445,Ferrari,1954,15,1
446,Gordini,1954,206,4
447,Vanwall,1954,123,2
448,"Cooper Alta",1954,69,1
449,"Cooper Bristol",1954,114,1
450,"Kurtis Kraft Offenhauser",1954,100,1
451,"Kuzma Offenhauser",1954,136,1
452,"Kurtis Kraft Offenhauser",1954,44,1
453,"Kurtis Kraft Offenhauser",1954,45,1
454,"Kurtis Kraft Offenhauser",1954,42,2
455,"Kurtis Kraft Offenhauser",1954,87,1
456,"Kurtis Kraft Offenhauser",1954,56,1
457,"Phillips Offenhauser",1954,177,1
458,"Kurtis Kraft Offenhauser",1954,39,1
459,"Kurtis Kraft Offenhauser",1954,51,2
460,"Kurtis Kraft Offenhauser",1954,207,1
461,"Stevens Offenhauser",1954,178,1
462,"Kurtis Kraft Offenhauser",1954,135,1
463,"Kurtis Kraft Offenhauser",1954,30,2
464,"Kurtis Kraft Offenhauser",1954,60,2
465,"Kurtis Kraft Offenhauser",1954,89,1
466,"Kurtis Kraft Offenhauser",1954,47,2
467,"Kuzma Offenhauser",1954,96,1
468,"Kuzma Offenhauser",1954,37,1
469,"Kuzma Offenhauser",1954,88,1
470,"Kurtis Kraft Offenhauser",1954,141,1
471,"Kurtis Kraft Offenhauser",1954,59,1
472,"Kurtis Kraft Offenhauser",1954,35,2
473,"Kurtis Kraft Offenhauser",1954,175,2
474,"Kurtis Kraft Offenhauser",1954,173,1
475,"Pankratz Offenhauser",1954,137,1
476,"Stevens Offenhauser",1954,208,1
477,"Stevens Offenhauser",1954,142,1
478,"Kurtis Kraft Offenhauser",1954,209,1
479,"Kurtis Kraft Offenhauser",1954,139,1
480,"Kurtis Kraft Offenhauser",1954,54,2
481,"Kurtis Kraft Offenhauser",1954,210,1
482,"Pawl Offenhauser",1954,98,1
483,"Pawl Offenhauser",1954,140,1
484,"Kurtis Kraft Offenhauser",1954,46,1
485,"Nichels Offenhauser",1954,176,1
486,"Nichels Offenhauser",1954,89,1
487,"Nichels Offenhauser",1954,211,1
488,"Schroeder Offenhauser",1954,89,1
489,"Schroeder Offenhauser",1954,142,1
490,"Kurtis Kraft Offenhauser",1954,172,1
491,"Kurtis Kraft Offenhauser",1954,40,1
492,"Bromme Offenhauser",1954,50,1
493,"Bromme Offenhauser",1954,212,1
494,"Schroeder Offenhauser",1954,213,1
495,"Schroeder Offenhauser",1954,139,1
496,"Kurtis Kraft Offenhauser",1954,211,1
497,Gordini,1954,161,2
498,Ferrari,1954,5,1
499,"HWM Alta",1954,115,1
500,Gordini,1954,162,1
501,Ferrari,1954,71,1
502,Mercedes-Benz,1954,192,1
503,"Klenk BMW",1954,157,1
504,Mercedes-Benz,1955,1,6
505,Mercedes-Benz,1955,107,7
506,Ferrari,1955,4,4
507,Ferrari,1955,111,2
508,Maserati,1955,163,6
509,Maserati,1955,121,10
510,Ferrari,1955,66,8
511,Maserati,1955,180,7
512,Maserati,1955,214,3
513,Maserati,1955,3,3
514,Mercedes-Benz,1955,194,6
515,Lancia,1955,215,3
516,Vanwall,1955,110,2
517,Ferrari,1955,215,4
518,Ferrari,1955,110,3
519,Gordini,1955,216,3
520,Gordini,1955,196,3
521,Ferrari,1955,8,1
522,Gordini,1955,64,3
523,Maserati,1955,204,3
524,Maserati,1955,27,1
525,Ferrari,1955,63,1
526,Ferrari,1955,181,2
527,Mercedes-Benz,1955,183,1
528,Maserati,1955,65,3
529,Maserati,1955,179,2
530,Maserati,1955,206,1
531,Maserati,1955,166,3
532,Gordini,1955,217,1
533,Lancia,1955,6,3
534,Maserati,1955,218,1
535,Lancia,1955,5,2
536,Gordini,1955,143,2
537,Gordini,1955,167,1
538,Mercedes-Benz,1955,71,2
539,Gordini,1955,219,1
540,Maserati,1955,115,1
541,Vanwall,1955,122,2
542,Vanwall,1955,65,3
543,"Cooper Bristol",1955,220,1
544,"Connaught Alta",1955,132,1
545,Maserati,1955,123,2
546,Maserati,1955,130,1
547,"Connaught Alta",1955,28,1
548,"Connaught Alta",1955,27,1
549,"Connaught Alta",1955,200,1
550,Maserati,1955,81,1
551,"Kurtis Kraft Offenhauser",1955,141,1
552,"Kurtis Kraft Offenhauser",1955,35,1
553,"Kurtis Kraft Offenhauser",1955,39,1
554,"Kurtis Kraft Offenhauser",1955,47,1
555,"Kuzma Offenhauser",1955,176,1
556,"Kurtis Kraft Offenhauser",1955,37,1
557,"Kurtis Kraft Offenhauser",1955,211,1
558,"Kurtis Kraft Offenhauser",1955,89,1
559,"Kurtis Kraft Offenhauser",1955,221,1
560,"Kurtis Kraft Offenhauser",1955,210,1
561,"Kurtis Kraft Offenhauser",1955,172,1
562,"Kurtis Kraft Offenhauser",1955,40,1
563,"Kuzma Offenhauser",1955,42,1
564,"Kurtis Kraft Offenhauser",1955,222,1
565,"Trevis Offenhauser",1955,140,1
566,"Epperly Offenhauser",1955,54,1
567,"Phillips Offenhauser",1955,177,1
568,"Kurtis Kraft Offenhauser",1955,178,1
569,"Kurtis Kraft Offenhauser",1955,135,1
570,"Trevis Offenhauser",1955,223,1
571,"Kurtis Kraft Offenhauser",1955,60,1
572,"Schroeder Offenhauser",1955,224,1
573,"Kurtis Kraft Offenhauser",1955,30,1
574,"Pawl Offenhauser",1955,225,1
575,"Kurtis Kraft Offenhauser",1955,226,1
576,"Kuzma Offenhauser",1955,136,1
577,"Kurtis Kraft Offenhauser",1955,100,1
578,"Kurtis Kraft Offenhauser",1955,44,1
579,"Kurtis Kraft Offenhauser",1955,227,1
580,"Kuzma Offenhauser",1955,98,1
581,"Kurtis Kraft Offenhauser",1955,228,1
582,"Kurtis Kraft Offenhauser",1955,208,1
583,"Stevens Offenhauser",1955,51,1
584,"Kurtis Kraft Offenhauser",1955,56,1
585,"Pankratz Offenhauser",1955,137,1
586,Lancia,1955,25,1
587,Ferrari,1955,71,1
588,Ferrari,1955,65,1
589,Mercedes-Benz,1955,81,1
590,Maserati,1955,182,1
591,Gordini,1955,229,1
592,Ferrari,1956,123,9
593,Ferrari,1956,111,1
594,Maserati,1956,214,4
595,Maserati,1956,107,9
596,Vanwall,1956,65,6
597,Maserati,1956,6,5
598,Ferrari,1956,83,1
599,Maserati,1956,121,8
600,Maserati,1956,3,5
601,Ferrari,1956,1,10
602,Vanwall,1956,66,4
603,"Connaught Alta",1956,230,1
604,Ferrari,1956,215,10
605,Maserati,1956,204,4
606,Maserati,1956,80,5
607,Ferrari,1956,180,4
608,Maserati,1956,110,1
609,Maserati,1956,103,1
610,Maserati,1956,231,2
611,Ferrari,1956,232,2
612,Maserati,1956,218,1
613,Maserati,1956,233,1
614,Maserati,1956,234,2
615,Maserati,1956,166,1
616,Maserati,1956,63,1
617,Ferrari,1956,235,5
618,"Connaught Alta",1956,170,2
619,Gordini,1956,64,5
620,"Cooper Bristol",1956,16,1
621,"Connaught Alta",1956,236,1
622,Gordini,1956,216,4
623,Maserati,1956,130,3
624,BRM,1956,237,1
625,BRM,1956,110,1
626,Maserati,1956,238,3
627,Maserati,1956,181,3
628,"Connaught Alta",1956,239,1
629,"Emeryson Alta",1956,240,1
630,Maserati,1956,220,1
631,BRM,1956,203,1
632,Vanwall,1956,63,1
633,"Watson Offenhauser",1956,40,1
634,"Kurtis Kraft Offenhauser",1956,60,1
635,"Phillips Offenhauser",1956,177,1
636,"Kuzma Offenhauser",1956,30,1
637,"Kurtis Kraft Offenhauser",1956,61,1
638,"Kuzma Offenhauser",1956,141,1
639,"Kurtis Kraft Offenhauser",1956,241,1
640,"Kurtis Kraft Offenhauser",1956,98,1
641,"Lesovsky Offenhauser",1956,137,1
642,"Stevens Offenhauser",1956,99,1
643,"Kuzma Offenhauser",1956,46,1
644,"Kurtis Kraft Offenhauser",1956,56,1
645,"Kurtis Kraft Offenhauser",1956,242,1
646,"Kurtis Kraft Offenhauser",1956,227,1
647,"Kuzma Offenhauser",1956,140,1
648,"Kuzma Offenhauser",1956,243,1
649,"Kurtis Kraft Offenhauser",1956,62,1
650,"Kurtis Kraft Offenhauser",1956,210,1
651,"Kuzma Offenhauser",1956,136,1
652,"Kurtis Kraft Offenhauser",1956,54,1
653,"Kurtis Kraft Offenhauser",1956,244,1
654,"Kurtis Kraft Offenhauser",1956,35,1
655,"Kurtis Kraft Offenhauser",1956,208,1
656,"Kurtis Kraft Offenhauser",1956,225,1
657,"Kurtis Kraft Offenhauser",1956,172,1
658,"Kurtis Kraft Offenhauser",1956,245,1
659,"Kurtis Kraft Offenhauser",1956,224,1
660,"Kurtis Kraft Offenhauser",1956,89,1
661,"Kurtis Kraft Offenhauser",1956,221,1
662,"Kurtis Kraft Offenhauser",1956,226,1
663,"Kurtis Kraft Offenhauser",1956,228,1
664,"Kurtis Kraft Offenhauser",1956,45,1
665,"Kuzma Offenhauser",1956,176,1
666,"Kurtis Kraft Novi",1956,39,1
667,Gordini,1956,143,1
668,Gordini,1956,83,2
669,"Connaught Alta",1956,203,1
670,Maserati,1956,24,1
671,Gordini,1956,81,1
672,Vanwall,1956,71,1
673,Maserati,1956,246,1
674,"Connaught Alta",1956,247,1
675,Vanwall,1956,110,1
676,Maserati,1956,81,1
677,Maserati,1956,71,1
678,Bugatti,1956,66,1
679,Maserati,1956,195,1
680,Gordini,1956,248,1
681,Maserati,1956,65,1
682,Ferrari,1956,249,1
683,Maserati,1957,1,7
684,Maserati,1957,121,6
685,Maserati,1957,166,4
686,Maserati,1957,65,9
687,Ferrari,1957,63,1
688,Ferrari,1957,235,1
689,Ferrari,1957,214,1
690,Ferrari,1957,123,8
691,Ferrari,1957,250,3
692,Maserati,1957,246,4
693,Maserati,1957,107,1
694,Ferrari,1957,251,1
695,Maserati,1957,234,3
696,Ferrari,1957,215,1
697,Ferrari,1957,110,7
698,Ferrari,1957,180,6
699,Vanwall,1957,237,6
700,Vanwall,1957,107,6
701,Ferrari,1957,66,3
702,"Cooper Climax",1957,130,3
703,"Cooper Bristol",1957,16,1
704,Vanwall,1957,252,5
705,"Cooper Climax",1957,220,6
706,Maserati,1957,253,1
707,BRM,1957,170,1
708,BRM,1957,247,1
709,Maserati,1957,254,4
710,Maserati,1957,249,4
711,Maserati,1957,80,3
712,Maserati,1957,238,3
713,Maserati,1957,204,5
714,"Epperly Offenhauser",1957,60,1
715,"Epperly Offenhauser",1957,54,1
716,"Kuzma Offenhauser",1957,136,1
717,"Kurtis Kraft Novi",1957,39,1
718,"Kurtis Kraft Offenhauser",1957,89,1
719,"Kurtis Kraft Offenhauser",1957,228,1
720,"Kurtis Kraft Offenhauser",1957,175,1
721,"Kurtis Kraft Offenhauser",1957,210,1
722,"Phillips Offenhauser",1957,241,1
723,"Lesovsky Offenhauser",1957,46,1
724,"Kurtis Kraft Offenhauser",1957,245,1
725,"Kuzma Offenhauser",1957,176,1
726,"Kurtis Kraft Offenhauser",1957,242,1
727,"Kuzma Offenhauser",1957,222,1
728,"Kurtis Kraft Novi",1957,35,1
729,"Kurtis Kraft Offenhauser",1957,30,1
730,"Kurtis Kraft Offenhauser",1957,177,1
731,"Kurtis Kraft Offenhauser",1957,137,1
732,"Kurtis Kraft Offenhauser",1957,255,1
733,"Kuzma Offenhauser",1957,244,1
734,"Dunn Offenhauser",1957,221,1
735,"Kurtis Kraft Offenhauser",1957,56,1
736,"Kuzma Offenhauser",1957,256,1
